pTet, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pTet, FRT, -pA1lacO, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pBAD, rbs3, cre, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pTet, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pTet, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs1, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs1, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs2, cre, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs1, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, flpe, T1, -FRT, loxP, -pA1lacO, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pBAD, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pTet, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pTet, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pTet, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pTet, rbs3, cre, T1, -loxP, rbs2, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs2, flpe, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs2, cre, T1, -loxP, rbs3, gfp, T1, 
pBAD, FRT, -pTet, rbs1, cre, T1, -FRT, loxP, -pA1lacO, rbs3, flpe, T1, -loxP, rbs2, gfp, T1, 
